"latitude","longitude","count"
"40.8466","-73.9379","14"
"42.8130","-73.9424","36"
"40.8092","-73.9445","2"
"42.0779","-73.9519","6"
"40.7793","-73.9539","97"
"40.8097","-73.9544","59"
"41.0979","-73.9565","97"
"40.7293","-73.9596","3"
"40.7141","-73.9599","391"
"40.7652","-73.9616","1"
"40.7160","-73.9626","327"
"42.8256","-73.9626","6"
"40.6290","-73.9660","10"
"41.5036","-73.9676","36"
"40.7526","-73.9682","24"
"40.7619","-73.9687","185"
"40.8516","-73.9691","5"
"40.7636","-73.9707","3"
"40.7641","-73.9707","7"
"40.7606","-73.9764","21"
"40.6865","-73.9777","500"
"40.7866","-73.9777","132"
"40.7335","-73.9779","415"
"40.7562","-73.9786","426"
"40.7429","-73.9791","269"
"40.6616","-73.9798","784"
"40.7708","-73.9818","8"
"40.7752","-73.9819","408"
"40.6906","-73.9823","724"
"40.7735","-73.9836","150"
"40.7734","-73.9836","145"
"40.7739","-73.9848","1"
"41.9669","-73.9850","125"
"42.8080","-73.9875","37"
"40.7182","-73.9877","570"
"40.7316","-73.9888","121"
"40.7571","-73.9890","170"
"40.7386","-73.9898","142"
"40.7247","-73.9904","50"
"40.7341","-73.9908","675"
"40.7151","-73.9911","335"
"40.7341","-73.9934","55"
"40.6849","-73.9944","324"
"40.7359","-73.9959","280"
"40.7524","-73.9969","248"
"40.7259","-73.9972","887"
"40.7312","-74.0017","913"
"40.7284","-74.0043","267"
"40.7194","-74.0050","100"
"40.7069","-74.0054","41"
"41.5023","-74.0056","4"
"40.7079","-74.0087","225"
"40.8503","-74.0126","9"
"40.7149","-74.0150","146"
"41.0951","-74.0184","41"
"40.6337","-74.0208","69"
"40.9077","-74.0309","4"
"40.7542","-74.0319","1"
"40.7280","-74.0380","52"
"40.7854","-74.0473","49"
"40.2873","-74.0532","12"
"41.7432","-74.0694","8"
"41.5241","-74.0702","38"
"40.9155","-74.0770","25"
"41.8443","-74.0822","3"
"40.5674","-74.1127","25"
"40.9789","-74.1155","5"
"42.0405","-74.1272","1"
"40.0584","-74.1419","8"
"40.8289","-74.1425","20"
"40.4188","-74.1496","10"
"40.9485","-74.1554","2"
"40.5597","-74.1638","5"
"40.5812","-74.1648","22"
"40.6596","-74.1686","14"
"40.6262","-74.1729","37"
"41.3269","-74.1884","1"
"40.7336","-74.1963","1"
"42.2098","-74.2141","1"
"40.8143","-74.2183","6"
"40.5305","-74.2301","7"
"40.6206","-74.2455","10"
"42.3064","-74.2524","1"
"40.8882","-74.2528","13"
"39.9826","-74.2555","11"
"40.8897","-74.2562","18"
"40.7934","-74.2567","4"
"39.7061","-74.2792","4"
"40.2497","-74.2946","9"
"40.6594","-74.2994","1"
"40.5482","-74.3337","9"
"40.6837","-74.3354","2"
"43.0154","-74.3611","6"
"41.4531","-74.3667","48"
"40.4220","-74.3818","3"
"40.8089","-74.3822","9"
"40.6465","-74.4090","6"
"40.4891","-74.4154","13"
"40.5489","-74.4243","23"
"41.4313","-74.4269","13"
"40.5253","-74.4373","1"
"39.3519","-74.4441","3"
"40.7999","-74.4813","6"
"40.4432","-74.5036","49"
"40.2777","-74.5304","10"
"40.9094","-74.5580","7"
"40.5511","-74.5753","62"
"40.5868","-74.6192","3"
"39.4468","-74.6269","11"
"40.4049","-74.6475","1"
"40.3507","-74.6575","2"
"40.3154","-74.6618","17"
"40.1919","-74.7218","16"
"41.3528","-74.7233","29"
"40.0376","-74.8215","20"
"43.0421","-74.8612","2"
"40.1853","-74.8834","73"
"39.9050","-74.9375","9"
"40.1393","-74.9552","71"
"40.0838","-74.9609","11"
"40.0721","-74.9654","39"
"39.9428","-74.9656","30"
"39.8480","-74.9772","11"
"44.6686","-74.9851","2"
"39.8557","-75.0201","33"
"39.9363","-75.0281","85"
"39.7162","-75.0286","17"
"39.4322","-75.0319","9"
"39.7286","-75.0397","1"
"40.0879","-75.0401","38"
"42.4471","-75.0464","21"
"38.4202","-75.0581","25"
"40.1688","-75.0741","26"
"39.8348","-75.1005","53"
"38.3378","-75.1122","101"
"40.0947","-75.1254","3"
"40.3101","-75.1301","6"
"40.2162","-75.1427","153"
"39.9476","-75.1434","28"
"38.7379","-75.1442","135"
"39.9468","-75.1454","173"
"39.9493","-75.1477","189"
"40.6766","-75.1477","5"
"38.7434","-75.1544","6"
"39.9780","-75.1585","37"
"39.9520","-75.1594","320"
"39.9508","-75.1669","38"
"44.5953","-75.1694","2"
"40.9979","-75.1830","1"
"39.9538","-75.2031","82"
"40.0156","-75.2105","59"
"40.1105","-75.2140","42"
"40.1548","-75.2212","23"
"40.9907","-75.2235","50"
"40.2073","-75.2254","72"
"40.2485","-75.2395","25"
"38.5516","-75.2473","4"
"39.9600","-75.2585","7"
"40.0064","-75.2603","6"
"40.1147","-75.2794","96"
"40.7179","-75.2852","57"
"40.0994","-75.3061","34"
"43.0924","-75.3164","343"
"40.3086","-75.3215","2"
"39.9383","-75.3580","47"
"40.6151","-75.3675","9"
"40.0926","-75.4003","131"
"40.5607","-75.4115","102"
"38.9351","-75.4294","103"
"40.6361","-75.4303","48"
"39.9780","-75.4392","38"
"40.1297","-75.4453","119"
"43.2123","-75.4599","3"
"40.1664","-75.4794","58"
"43.2246","-75.4832","34"
"40.5341","-75.4912","2"
"40.1338","-75.5174","3"
"42.5299","-75.5234","1"
"39.8332","-75.5360","98"
"39.1951","-75.5403","16"
"39.7468","-75.5494","1"
"39.8827","-75.5496","33"
"40.5872","-75.5585","38"
"39.7368","-75.5620","32"
"38.3967","-75.5672","126"
"40.5565","-75.5767","61"
"41.4602","-75.6238","6"
"41.4618","-75.6270","22"
"40.0219","-75.6283","63"
"39.7144","-75.6313","50"
"40.2756","-75.6413","24"
"43.0773","-75.6422","29"
"39.6812","-75.6503","140"
"40.2328","-75.6670","34"
"36.0352","-75.6724","67"
"40.0143","-75.6740","144"
"41.3603","-75.6814","89"
"39.4472","-75.7410","76"
"39.6863","-75.7448","49"
"39.6028","-75.7485","150"
"41.2436","-75.8840","8"
"42.1335","-75.9070","42"
"40.3798","-75.9308","33"
"40.3367","-75.9343","23"
"41.5385","-75.9460","4"
"43.9762","-75.9554","25"
"40.3509","-75.9677","82"
"36.8566","-75.9887","4"
"42.0974","-76.0106","34"
"40.9847","-76.0114","8"
"36.7678","-76.0154","71"
"38.5534","-76.0548","2"
"36.8158","-76.0730","103"
"38.7768","-76.0758","4"
"38.7803","-76.0797","1"
"36.8408","-76.1299","51"
"36.8649","-76.1316","31"
"43.0983","-76.1454","6"
"40.1757","-76.1737","5"
"43.0695","-76.1745","119"
"36.8015","-76.1745","31"
"36.7794","-76.2266","17"
"36.6539","-76.2293","67"
"36.7784","-76.2334","26"
"36.2939","-76.2410","2"
"36.2973","-76.2554","28"
"43.0550","-76.2711","92"
